name,E_name,gender,birth,height,weight,event,nationplace,picture,introduce,href
宁泽涛,Ning Zetao,男,1993年3月6日,191cm,76-80kg,游泳,河南,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,"宁泽涛，1993年3月6日出生于河南郑州，毕业于郑州大学体育学院运动训练专业2010级，中国人民解放军海军游泳队运动员。主攻短距离游泳，主项为自由泳。2014年9月23日，在第十七届亚运会男子50米自由泳决赛中，宁泽涛为中国游泳队收获男子项目的首枚金牌。9月25日，宁泽涛又在男子100米自由泳决赛中以47秒70的成绩赢得金牌，不仅刷新了亚运会纪录，而且成为了首位游进48秒的亚洲人。10月17日举行的全国游泳锦标赛男子100米自由泳比赛中，宁泽涛以47秒65的成绩夺冠，并刷新由自己保持的亚洲纪录。2015年2月1日，宁泽涛荣获2014 CCTV体坛风云人物最佳男运动员奖。8月6日，在第16届喀山世界游泳锦标赛男子100米自由泳决赛中，宁泽涛以47秒84荣获冠军，获得首枚世锦赛金牌，创造亚洲游泳的历史。2015年11月，网友投票评选出“中国90后10大影响力人物”，宁泽涛名列第三。在2016年的里约奥运会中，宁泽涛将出战男子50米、100米自由泳以及4x100米自由泳接力和4x100米混合泳接力。详细介绍个人生涯运动生涯宁泽涛儿时，在河南省体育场学习游泳，被教练慧眼识珠，从此走上艰苦的专业游泳运动员之路。2004年，11岁的宁泽涛成为河南省体工二大队运动员。2007年，14岁的宁泽涛进入海军游泳队[9]  ，师从国家级教练、海军游泳队队长叶瑾少将。各方面都很均衡的他主攻混合泳项目。2009年济南全运会后，膝伤让宁泽涛不得不放弃了混合泳项目，转而专攻短距离自由泳，可谁也没想到这一次的被迫改行，反倒让中国泳坛涌现了一颗希望之星。2013年4月5日，在河南郑州举行的全国游泳冠军赛男子100米自由泳决赛中，宁泽涛以48秒60的成绩打破了由陈祚保持的48秒73的中国纪录。 4月7日的50米自由泳决赛中，宁泽涛再度荣获冠军，收获本次大赛的第二枚金牌。2013年9月8日，在第十二届全运会男子100米自由泳中，宁泽涛48秒27的成绩夺冠，这一成绩打破了吕志武创造的48秒33的亚洲纪录。9月9日，继8日以改写亚洲纪录赢下“飞鱼大战”后，宁泽涛又在50米自由泳预赛中以21秒91的成绩刷新亚洲纪录。10月13日，在天津举行的第六届东亚运会男子100米自由泳决赛中，宁泽涛获得冠军。14日，又在男子50米自由泳决赛中夺得金牌。10月26日，在第六届全国游泳锦标赛上，宁泽涛首次尝试50米蝶泳，荣获金牌。2014年6月13日，宁泽涛作为军人出战国际军体第46届游泳锦标赛，并于比赛首日摘得男子50米自由泳金牌。在比赛第二日进行的男子100米自由泳决赛中，宁泽涛又夺得金牌，并打破该项目国际军体纪录。2014年9月23日，在仁川亚运会男子50米自由泳预赛中，宁泽涛以21秒95刷新了亚运会纪录；同日进行的决赛中，宁泽涛以21秒94获得冠军。9月24日，在男子4×100米自由泳接力决赛中，余贺新、林永庆、孙杨和宁泽涛组成的中国队夺得金牌并打破亚洲纪录，成绩是3分13秒47，日本和韩国分获银铜牌。9月25日，在男子100米自由泳决赛中宁泽涛再下一金，并以47秒70的成绩成为首个游进48秒的黄种人。9月26日，在男子4x100混合泳接力比赛中，由徐嘉余、李响、李朱濠和宁泽涛组成的中国队实现大逆转，最终力压日本队夺得金牌。至此，宁泽涛在该届亚运会上共收获4金。2014年10月15日，在安徽黄山参加2014年全国游泳锦标赛，以23秒65获得副项50米蝶泳的亚军。10月17日，在男子100米自由泳比赛中，以47秒65的成绩夺冠，并打破自己保持的亚洲纪录。2015年2月1日，2014年CCTV体坛风云人物颁奖典礼在北京万事达中心盛大开幕。宁泽涛荣获最佳男运动员奖项。8月5日，在俄罗斯喀山进行的2015年世界游泳锦标赛，结束了游泳大项男子100米自由泳半决赛争夺，中国选手宁泽涛以48秒13的成绩获得小组第一，总成绩名列第二。宁泽涛成为世界游泳锦标赛自1973年举办以来，第一位进入男子100米自由泳决赛的亚洲选手。8月6日，第16届喀山世界游泳锦标赛继续进行。在男子100米自由泳决赛中，宁泽涛以47秒84夺得冠军，获得本人首枚世锦赛金牌，也创造了亚洲游泳的历史。10月7日，宁泽涛在第六届世界军人运动会男子50米自由泳比赛中以22秒35的成绩夺冠。12月27日，被新华社体育部评为2015年中国十佳运动员。2016年钜派杯全国游泳冠军赛暨里约奥运选拔赛，男子100米自由泳半决赛，以47秒96的成绩列总排名第一，轻松闯进决赛。场外生活宁泽涛出身军人世家，爷爷和外公都是军人，都在部队服役直到退休。爸爸在空军服役，妈妈在北京部队服役，自己是海军队员，一家人海陆空全部占满。宁泽涛爸爸叫宁锋，现在是河南卫视高层，母亲叫刘文红。父亲由于太忙，和儿子在一起很短，母亲和儿子尤为合拍，对此刘文红还给儿子取了一个外号叫：包子哥。社会活动2015年，宁泽涛和赞助商一起加入乡村“一校一梦想”的公益项目，为“一所学校”实现“一个梦想”贡献爱心，助力乡村教育的体育梦。2016年，1月10日宁泽涛正式受邀成为了“NU SKIN如新中华儿童心脏病基金青春公益大使“。人物评价专业评价宁泽涛的发展趋势很好，年龄合适，身材是1米91，属于世界短距离自由泳的中等身材，肌肉线条好，每划力量好，心理素质顽强，具备了世界优秀短距离选手的品质。我们完全可以期待他在世界飞鱼领域的突破。（前国家游泳队总教练陈运鹏评价）媒体评价宁泽涛拥有俊朗的外形，完美的身材，灿烂的笑容，谦虚的性格。（大河网评）。他巴掌脸眉清目秀，穿衣显瘦，脱衣有肉，会游泳，兵哥哥，凭借强劲实力和偶像气质，成为了泳坛新男神、亚洲飞鱼。（新华网评）获奖记录比赛荣誉2013年全国游泳冠军赛男子50米自由泳、100米自由泳金牌2013年第十二届全运男子100米自由泳金牌2013年第六届东亚运动会男子50米自由泳、100米自由泳金牌，4x100米自由泳接力银牌2013年全国游泳锦标赛男子50米蝶泳金牌，4x100米自由泳接力银牌2013年FINA短池游泳世界杯北京站男女4×50米混合泳接力金牌2014年全国游泳冠军赛男子50米自由泳银牌2014年国际军体第46届游泳锦标赛男子50米自由泳、100米自由泳金牌22""08 2014年仁川亚运会男子50米自由泳、100米自由泳、4x100米自由泳接力、4x100米混合泳接力金牌2014年全国游泳锦标赛男子100米自由泳金牌，50米蝶泳银牌 2014年FINA短池游泳世界杯北京站男女4×50米接力、男女4×50米自由泳混合泳接力金牌，男子50米自由泳铜牌2015年全国游泳冠军赛男子50米自由泳金牌2015年喀山世界游泳锦标赛男子100米自由泳冠军 2015年第六届世界军人运动会男子50米自由泳比赛冠军荣誉奖项2014 CCTV体坛风云人物最佳男运动员2015年中国十佳运动员2015 CCTV体坛风云人物最佳男运动员",http://info.2016.163.com/athlete/7914.html
叶诗文,Ye Shiwen,女,1996年3月1日 ,172厘米,64kg,游泳,浙江,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,"叶诗文，最小的游泳世界冠军，2010年首次参加亚运会便夺取女子400米个人混合泳金牌。成为中国泳坛一颗冉冉升起的新星。2011年7月25日，在上海第14届游泳世锦赛上取得200米混合泳冠军，这是“95后”泳坛新星首度登上世界大赛冠军领奖台，也是1978年来最年轻的游泳世界冠军。在2012年伦敦奥运会上，女子400米混决赛中，以4分28秒43的成绩夺得冠军并打破世界纪录；在女子200混比赛中，两次打破奥运会纪录，创造了中国游泳个人单届获得两项奥运冠军的历史。2013年辽宁全运会200混夺冠后，叶诗文拿完包括全运会、亚运会、游泳世界杯、长池世锦赛、短池世锦赛、奥运会在内的所有国内外重大比赛的金牌，成为中国泳坛首个金满贯。在2016年里约奥运会中，叶诗文将出战女子200米混合泳和女子400米混合泳的比赛。个人战绩2010国际泳联短池游泳世界杯系列赛北京站200米混合泳、100米自由泳、400米个人混合泳金牌2010年16届亚洲运动会女子400米个人混合泳、200米个人混合泳金牌2010年迪拜短池游泳世锦赛400米个人混合泳、200米个人混合泳亚军2011年上海第14届游泳世锦赛女子混合泳200米冠军2012年全国游泳冠军赛女子400米个人混合泳亚军 2012年全国游泳冠军赛女子4×200米自由泳接力季军2012年全国游泳冠军赛女子200米个人混合泳冠军2012年获得伦敦奥运会女子400米个人混合泳冠军（4分28秒43打破世界纪录）和伦敦奥运会女子200米个人混合泳冠军（2分07秒57打破奥运会纪录）。2012年国际泳联短池游泳世界杯系列赛北京站女子200米混合泳冠军、女子400米混合泳冠军2012年土耳其伊斯坦布尔短池游泳世锦赛女子400米个人混合泳亚军（4分23秒33打破自己2010年创造的亚洲纪录）、女子200米个人混合泳冠军（2分04秒64打破赛会纪录和亚洲纪录，至此完成女子个人200米混合泳全满贯。2013年首届中国、澳大利亚、南非三国游泳对抗赛女子200米个人混合泳冠军、女子400米个人混合泳冠军2013年迈阿密超级挑战赛（Miami SuperChallenge）女子200米个人混合泳冠军、女子100米自由泳冠军2013年全国游泳冠军赛女子200米个人混合泳冠军、女子200米自由泳冠军、女子200米仰泳冠军、女子400米个人混合泳冠军2013年第十二届辽宁全运会女子400米个人混合泳冠军、女子200米个人混合泳冠军、女子4X200米自由泳接力亚军、女子200米仰泳季军、女子4X100米混合泳接力季军2013年第六届东亚运动会女子200米个人混合泳冠军2013年全国游泳锦标赛女子200米仰泳冠军、女子4X200米自由泳接力冠军2014年澳大利亚五国游泳对抗赛女子200米个人混合泳冠军2014年全国游泳冠军赛女子400米个人混合泳冠军，成绩为4分30秒84，世界排名第一，也是个人职业生涯第二好的成绩。2014年仁川亚运女子4X100米自由泳接力金牌。以打破亚运会赛会纪录的成绩卫冕女子400米个人混合泳金牌。以打破亚运会赛会纪录的成绩卫冕女子200米个人混合泳金牌。2014年全国游泳锦标赛女子200米蝶泳季军。2014年国际泳联短池游泳世界杯系列赛北京站女子100米混合泳亚军并打破亚洲纪录。2015年澳大利亚珀斯四国游泳对抗赛女子200米个人混合泳亚军。2015年获得全国游泳冠军赛女子4×100米自由泳接力金牌、女子200米个人混合泳、女子400米个人混合泳金牌，女子200米仰泳季军。2015年第16届喀山世界游泳锦标赛女子200米个人混合泳第八名2016年广州佛山全国游泳冠军赛女子200米个人混合泳第一名。        	  	  ",http://info.2016.163.com/athlete/696.html
孙杨,Sun Yang,男,1991年12月1日 ,198厘米,89kg,游泳,浙江,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,孙杨，主攻中长距离自由泳。他被国内游泳界，乃至国际泳联誉为中国泳坛2012年伦敦奥运会的“未来之星”。2011年7月31日，孙杨以14分34秒14打破了澳大利亚名将哈克特在2001年福冈世锦赛上创造的14分34秒56原世界纪录，获得了男子1500米自由泳比赛世界纪录，刷新了封沉10年之久的世界纪录。在2016年的里约奥运会上孙杨将出战男子200米、400米、1500米自由泳比赛。详细介绍出征奥运会2008年北京奥运会1500米自由泳第八成长经历他成长在杭州的一个体育世家，爸爸孙全洪是安徽淮南人，曾是安徽省体工队男子排球队运动员，后来离开专业队去读书，1989年毕业于上海体院，同年被分配到杭州高校教书。母亲也曾是排球好手，家庭的基因赋予了他运动的天赋。作为中国男子中长距离自由泳项目的后起之秀，在2009年成绩取得了较大突破，继8月获得第十三届世界游泳锦标赛1500米自由泳第三名后，在10月的第十一届全国运动会上，他在所有参赛项目中向中国男子游泳“一哥”张琳发起全面挑战，在男子200米和400米自由泳挑战相继失利的情况下，不气馁不放弃，在距离最长、最为艰苦的1500米自由泳项目上以坚忍不拔的毅力、顽强的比赛作风，战胜了对手，成为名副其实的长距离之王。他被国内游泳界，乃至国际泳联誉为中国泳坛2012年奥运之星。游坛“克劳奇”别看孙杨年纪不大，但他的个头却吓人，1米98的个头在国家队里也已是数一数二的。孙杨的妈妈杨明说，当初儿子被选进游泳队就因为个子比别的孩子高。“读幼儿园时，教练到幼儿园挑选游泳苗子。当时老师就说，孙杨这个孩子连幼儿园的床都睡不下了。”就这样，孙杨被选进体校参加集训，并走上了游泳这条路。个头高人一等的小孙杨在队里格外显眼，去年省运会时他的个头已经窜到1米92，但孙杨妈妈说：“这孩子还能长。”果然，才过了一年，孙杨又长了足足6公分。1米98的个头在同龄选手中是最高的了。“这么高的个子，只要他的转身和出发技术再好好练一下，他的成绩还可以提高，潜力还可以再挖挖。”孙杨的教练朱志根说。进步神速孙杨在2006年的省运会上一战成名；2007年的全锦赛，他更是战胜了老大哥张琳，拿下1500米冠军；城运会他再次显示了自己在中长距离项目上的强劲实力。1500米决赛前，他自信地说：“金牌没问题！”孙杨的信心缘自他的强大实力。1500米决赛中，前1400米孙杨和南京选手祖立军并驾齐驱，但最后的100米，孙杨爆发出强大的后程冲击力，把对手远远地甩在身后，毫无悬念地摘下冠军。时间定格在15分21秒41，虽然这个成绩距离15分13秒16的奥运会A标成绩还有不少的差距，但要知道，一年前，孙杨1500米的成绩要16分多。“才用了一年时间，他1500米的成绩提高了近1分钟，就连400米也涨了3秒多。”朱志根说。要知道，在胜负决定于小数点后几位的游泳比赛中，几秒的进步甚至可以用“飞跃”两个字来形容。亚运会冠军把朴泰桓甩到大半个泳池之外的孙杨，以领先队友张琳46秒率先到边。他竖起食指，指向天空，嘴里不停地在喊着什么来发泄自己的情绪。这一刻，孙杨没有对手。1500米自由泳，金牌是孙杨的囊中物，唯一让人意想不到的是结果会如此惊艳。14分35秒43，孙杨将张琳北京奥运会创造的亚洲纪录提高了近10秒，距离哈克特14分34秒56的世界纪录也只差了不到1秒。看清楚成绩后，孙杨不敢相信自己的眼睛，他又哭了，这是亚运会上他第三次流泪，泪水和池水交织在一起，全场观众起身为这个优秀的小伙子鼓掌。破世界纪录在男子1500米自由泳预赛中，孙杨以14分48秒13的成绩获得预赛头名，匈牙利的吉斯以14分52秒72排名第二，美国选手范德凯伊14分54秒99获得第三名，前八名选手获得决赛资格。卫冕冠军梅洛里在昨天的预赛意外出局，能够稍稍威胁到孙杨的也就是北京奥运会铜牌得主加拿大名将科克伦。科克伦在800米自由泳决赛也是收获银牌，紧跟着孙杨。 今晚的决赛中，前300米下来第七道的选手逐渐落后，到350米处孙杨领先第二泳道的科克伦一头多的距离。孙杨游到700米的时候，已经明显领先科克伦一个身位。到1100米的时候，孙杨已经领先科克伦将近5秒。据介绍，孙杨在备战这次上海世锦赛期间，几乎是每天两万米的训练量，大强度的训练让他的整体实力有了更明显的加强。孙杨游到1300米的时候，已经领先科克伦近8秒钟。当孙杨游到1400米的时候，及时的数据显示当时他只比世界纪录同步成绩慢了2.03秒。孙杨最后100米先是在前50米做了一个酝酿，最后一个转身后他明显加快了腿打水的频率，游泳池里翻腾起高高的白色浪花，孙杨正在以十分强劲的马力，向世界纪录发起最后的冲刺。最终孙杨以14分34秒14夺冠，并超过了原世界纪录0.42秒。赛后第一时间，孙杨夺冠破纪录的喜讯传遍神州大地，一直在电视剧前观战的中国飞人刘翔也无法“淡定”了。他登陆微博，一表心中的喜悦，“新的世界纪录诞生了！祝贺孙杨！游得太棒了！”能在刘翔的口中，得到称赞，孙杨作为长距离项目的王者当之无愧。不仅刘翔难以抑制情绪，粉丝们更是。网友回应刘翔说道：“是啊，刚看完，激动的，吃饭差点把碗扔了。”另一位粉丝，留言说：“对！太激动了！翔哥你也要加油哦！期待你的伦敦奥运会！”其它战绩2009年罗马世锦赛1500米自由泳铜牌 2009年亚洲游泳锦标赛400米自由泳、1500米自由泳和4X200米自由泳接力三项冠军2010年11月14日 广州亚运会男子200米自由泳亚军、4X200米接力自由泳冠军、400米自由泳亚军、1500米自由泳冠军2011年第14届（上海）世界游泳锦标赛400自由泳银牌、800米自由泳金牌、4X200米铜牌、1500米自由泳金牌 2012年澳大利亚迈阿密游泳超级挑战赛100米自由泳、200米自由泳、400米自由泳冠军2012年全国游泳冠军赛男子400米自由泳、800自由泳、200米自由泳、1500米自由泳冠军2012年第九届全国大学生游泳运动会200米自由泳、400米自由泳、800米自由泳、4x100米自由泳接力、4x200米自由泳接力冠军2012年全国游泳锦标赛200米自由泳、400米自由泳、1500米自由泳冠军2012年第九届迪拜亚洲游泳锦标赛200米自由泳、400米自由泳以及1500米自由泳冠军2013年河南郑州全国游泳冠军赛200米自由泳、400米自由泳、800米自由泳、1500米自由泳冠军2013年第十五届巴塞罗那世界游泳锦标赛400米自由泳、800米自由泳、1500米自由泳冠军，4x200米自由泳接力亚军2013年第十二届全运会400米自由泳、4x100米自由泳接力冠军2014年山东青岛全国游泳冠军赛200米自由泳、400米自由泳、1500米自由泳冠军2014年第十七届仁川亚运会400米自由泳、1500米自由泳、4x100米自由泳接力冠军，200米自由泳亚军2014年全国游泳锦标赛200米自由泳、400米自由泳、1500米自由泳冠军2015年宝鸡全国游泳冠军赛暨世锦赛选拔赛200米自由泳、400米自由泳冠军2015年国际泳联世界游泳锦标赛400米自由泳、800米自由泳冠军，200米自由泳亚军,http://info.2016.163.com/athlete/689.html
陈洁,Chen Jie,女,1995年,176厘米,,游泳,湖北,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,陈洁，中国女子游泳队运动员，湖北人，1995年出生，2011年城运会100米仰泳亚军。200米仰泳冠军。身高1.76米，双臂展开达1.86米。2015年全国游泳冠军赛暨世锦赛选拔赛，女子200米仰泳决赛陈洁以2分09秒64的成绩夺冠，该成绩列今年世界第11位。在里约奥运会上，陈洁将出战女子200米仰泳。详细介绍主要战绩2011年第七届城运会女子100米仰泳亚军、200米仰泳冠军。2015年全国游泳锦标赛暨世界杯选拔赛女子200米仰泳冠军。,http://info.2016.163.com/athlete/7974.html
陈欣怡,Chen Xinyi,女,1998年,,,游泳,上海,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,陈欣怡，女，1998年出生于上海浦东新区人，中国女子游泳运动员。仁川亚运会女子100米蝶泳比赛中获得冠军，并打破亚运会纪录。2014年12月，亚运会女子100米蝶泳冠军陈欣怡获得“2014 CCTV体坛风云人物年度评选”的“最佳新人奖”提名。2015年10月20日，获得中国首届青年运动会游泳比赛女子100米蝶泳冠军。在本次里约奥运会上，陈欣怡将出战女子50米自由泳、女子100米蝶泳、女子4x100米混合泳三个项目。详细介绍主要战绩2013年第十二届全运会获50米、100米自由泳等四项金牌2014年仁川亚运会女子100米蝶泳比赛中获得冠军并打破亚运会纪录2015年宝鸡冠军赛女子100米蝶泳冠军2015年青年运动会游泳比赛女子100米蝶泳冠军个人荣誉2014CCTV体坛风云人物年度评选最佳新人奖（提名）,http://info.2016.163.com/athlete/7976.html
史婧琳,Shi Jinglin,女,,,,游泳,江苏,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,史婧琳，生于江苏省常州市，中国女子游泳队运动员，2009年全国游泳锦标赛冠军，2012年全国游泳冠军赛女子200米蛙泳季军。2014年9月21日，2014仁川亚运会女子100米蛙泳决赛中，中国选手史婧琳夺冠，并且破赛会纪录。2016年钜派杯全国游泳冠军赛暨里约奥运选拔赛，女子100米蛙泳决赛以1分06秒29夺冠。女子200米蛙泳，史婧琳以2分22秒98的成绩夺冠，成为本次冠军赛女子蛙泳的双冠王。在本次里约奥运会上，史婧琳将出战女子100米蛙泳、女子200米蛙泳、女子4×100米混合泳三个项目。详细介绍主要战绩2009年全国游泳锦标赛女子200米蛙泳冠军。2010年中国水上运动会游泳比赛暨全国游泳锦标赛上女子200米蛙泳金牌，与队友赵岚、周雯婷、朱晓雅合作为江苏队夺得女子4X100米混合泳银牌。2011年全国游泳锦标赛女子200米蛙泳冠军。2013年全国游泳冠军赛暨全运会游泳选拔赛女子200米蛙泳冠军并达到世锦赛A标，女子100米蛙泳亚军。2013年第十二届全运会上以2分24秒57的个人最好成绩夺得女子200米蛙泳冠军。2014年仁川亚运会女子100米蛙泳冠军，并且破赛会纪录。2015年俄罗斯喀山游泳世锦赛女子200米蛙泳决赛与世界纪录保持者、丹麦蛙后彼得森以及西班牙选手维拉，同以2分22秒76并列获得季军，与傅园慧、陆滢和沈铎一同获得女子4×100混合泳接力冠军。2016年钜派杯全国游泳冠军赛暨里约奥运选拔赛女子100米蛙泳、200米蛙泳冠军。,http://info.2016.163.com/athlete/7979.html
董洁,Dong Jie,女,,,,游泳,天津,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,董洁，中国女子游泳运动员。在本次里约奥运会上，董洁将出战女子4×200米自由泳项目。详细介绍主要战绩2016年全国游泳冠军赛女子400米自由泳亚军，达到奥运A标。,http://info.2016.163.com/athlete/7983.html
沈铎,Shen Duo,女,1997年,182厘米,,游泳,江苏,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,沈铎，中国女子游泳运动员，1997年出生于江苏溧阳市，2003年进入常州市少体校训练，师从启蒙教练陈烨，2010年进入江苏省游泳队，2011年开始参加职业比赛。在本届里约奥运会上，沈铎将出战女子100米自由泳、女子200米自由泳、女子4×100米自由泳、女子4×200米自由泳以及女子4×100米混合泳五个项目。详细介绍主要战绩2013年全国游泳锦标赛女子200米自由泳冠军2014年全国游泳冠军赛女子100米自由泳冠军2014年全国游泳冠军赛女子200米自由泳冠军2014年第二届南京青奥会女子100米自由泳冠军2014年第二届南京青奥会女子200米自由泳冠军2014年第17届仁川亚运会女子100米自由泳冠军2014年第17届仁川亚运会女子200米自由泳冠军2014年全国游泳锦标赛女子100米自由泳亚军2014年短池游泳世界杯（北京站）女子100米自由泳亚军2015年第16届喀山世界游泳锦标赛女子100米自由泳第八2015年第16届喀山世界游泳锦标赛女子200米自由泳第六,http://info.2016.163.com/athlete/7984.html
周羿霖,Zhou Yilin,女,,,,游泳,河北,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,"周羿霖，中国女子游泳队运动员，2011年全国游泳冠军赛冠军。周羿霖擅长蝶泳和短距离自由泳，自从进入国家队后一直师从刘海涛，是焦刘洋的同组师妹。2016年7月18日，2016年里约热内卢奥运会中国奥运代表团成立，周羿霖名列出征游泳队名单,她将出战女子200米蝶泳。详细介绍主要战绩2013年全运会100米蝶泳第四2013年全运会200米蝶泳第四2014年青岛全国游泳冠军赛50米，100米蝶泳第四2014青岛全国游泳冠军赛200米蝶泳亚军2014年黄山游泳锦标赛200米蝶泳亚军2015年全国游泳冠军赛200米蝶泳冠军（2分08秒02）2016年钜派杯全国游泳冠军赛暨里约奥运选拔赛，女子200米蝶泳决赛，周羿霖游出个人最好成绩，以2分06秒56获得冠军。",http://info.2016.163.com/athlete/7988.html
曹玥,Cao Yue,女,1995年,,,游泳,山西,http://img1.cache.netease.com/pcluster/olympicinfo/post/056/896/aa3/522018097e7e21693c276c7_160x108.jpg,曹玥，1995年出生于山西太原，游泳运动员。2014年9月23日，仁川亚运会女子4×200米自由泳接力赛决赛中，由郭君君、唐奕、曹玥、沈铎四名队员组成的中国队以7分55秒17的成绩取得金牌。2016年4月4日，在2016年全国游泳冠军赛暨里约热内卢奥运会选拔赛中，太原选手曹玥获得女子400米自由泳亚军，获得了参加里约热内卢奥运会的资格。在里约奥运会上她将出战女子400米自由泳项目。详细介绍主要战绩2013年第十二届全运会女子400米自由泳决赛冠军。2014年仁川亚运会女子4×200米自由泳接力赛决赛中，由郭君君、唐奕、曹玥、沈铎四名队员组成的中国队以7分55秒17的成绩取得金牌。2014年国际泳联短池世界杯北京站女子400米自由泳冠军。2015年宝鸡冠军赛400米自由泳冠军。2016年全国游泳冠军赛暨里约热内卢奥运会选拔赛女子400米自由泳亚军。个人荣誉2015年1月5日拟授予国际级运动健将称号,http://info.2016.163.com/athlete/7989.html
